tensor(0.9029, device='cuda:0', dtype=torch.float64)
tensor(0.9152, device='cuda:0', dtype=torch.float64)
tensor(0.9184, device='cuda:0', dtype=torch.float64)
tensor(0.9187, device='cuda:0', dtype=torch.float64)
tensor(0.9203, device='cuda:0', dtype=torch.float64)
tensor(0.9214, device='cuda:0', dtype=torch.float64)
tensor(0.9245, device='cuda:0', dtype=torch.float64)
tensor(0.9298, device='cuda:0', dtype=torch.float64)
tensor(0.9322, device='cuda:0', dtype=torch.float64)
tensor(0.9407, device='cuda:0', dtype=torch.float64)
tensor(0.9423, device='cuda:0', dtype=torch.float64)
tensor(0.9445, device='cuda:0', dtype=torch.float64)
tensor(0.9472, device='cuda:0', dtype=torch.float64)
tensor(0.9482, device='cuda:0', dtype=torch.float64)
tensor(0.9486, device='cuda:0', dtype=torch.float64)
