tensor(0.8406, device='cuda:0', dtype=torch.float64)
tensor(0.8521, device='cuda:0', dtype=torch.float64)
tensor(0.8512, device='cuda:0', dtype=torch.float64)
tensor(0.8593, device='cuda:0', dtype=torch.float64)
tensor(0.8642, device='cuda:0', dtype=torch.float64)
tensor(0.8723, device='cuda:0', dtype=torch.float64)
tensor(0.8751, device='cuda:0', dtype=torch.float64)
tensor(0.8792, device='cuda:0', dtype=torch.float64)
tensor(0.8850, device='cuda:0', dtype=torch.float64)
tensor(0.8992, device='cuda:0', dtype=torch.float64)
tensor(0.8983, device='cuda:0', dtype=torch.float64)
tensor(0.8986, device='cuda:0', dtype=torch.float64)
tensor(0.8999, device='cuda:0', dtype=torch.float64)
tensor(0.9037, device='cuda:0', dtype=torch.float64)
tensor(0.9086, device='cuda:0', dtype=torch.float64)
